 keyword	Units	Component	Description	Internal
IMP_DVBK_L2	mm3/s	Brakes	L2 caliper flow rate	VARIABLE
IMP_DVBK_L3	mm3/s	Brakes	L3 caliper flow rate	VARIABLE
IMP_DVBK_L4	mm3/s	Brakes	L4 caliper flow rate	VARIABLE
IMP_DVBK_L5	mm3/s	Brakes	L5 caliper flow rate	VARIABLE
IMP_DVBK_L6	mm3/s	Brakes	L6 caliper flow rate	VARIABLE
IMP_DVBK_R1	mm3/s	Brakes	R1 caliper flow rate	VARIABLE
IMP_DVBK_R2	mm3/s	Brakes	R2 caliper flow rate	VARIABLE
IMP_DVBK_R3	mm3/s	Brakes	R3 caliper flow rate	VARIABLE
IMP_DVBK_R4	mm3/s	Brakes	R4 caliper flow rate	VARIABLE
IMP_DVBK_R5	mm3/s	Brakes	R5 caliper flow rate	VARIABLE
IMP_DVBK_R6	mm3/s	Brakes	R6 caliper flow rate	VARIABLE
IMP_DXDMP_EXT_L1	mm/s	Suspensions	Compression rate for damper L1	VARIABLE
IMP_DXDMP_EXT_L2	mm/s	Suspensions	Compression rate for damper L2	VARIABLE
IMP_DXDMP_EXT_L3	mm/s	Suspensions	Compression rate for damper L3	VARIABLE
IMP_DXDMP_EXT_L4	mm/s	Suspensions	Compression rate for damper L4	VARIABLE
IMP_DXDMP_EXT_L5	mm/s	Suspensions	Compression rate for damper L5	VARIABLE
IMP_DXDMP_EXT_L6	mm/s	Suspensions	Compression rate for damper L6	VARIABLE
IMP_DXDMP_EXT_R1	mm/s	Suspensions	Compression rate for damper R1	VARIABLE
IMP_DXDMP_EXT_R2	mm/s	Suspensions	Compression rate for damper R2	VARIABLE
IMP_DXDMP_EXT_R3	mm/s	Suspensions	Compression rate for damper R3	VARIABLE
IMP_DXDMP_EXT_R4	mm/s	Suspensions	Compression rate for damper R4	VARIABLE
IMP_DXDMP_EXT_R5	mm/s	Suspensions	Compression rate for damper R5	VARIABLE
IMP_DXDMP_EXT_R6	mm/s	Suspensions	Compression rate for damper R6	VARIABLE
IMP_DXJST_EXT_L1	mm/s	Suspensions	Compression rate for jounce stop L1	VARIABLE
IMP_DXJST_EXT_L2	mm/s	Suspensions	Compression rate for jounce stop L2	VARIABLE
IMP_DXJST_EXT_L3	mm/s	Suspensions	Compression rate for jounce stop L3	VARIABLE
IMP_DXJST_EXT_L4	mm/s	Suspensions	Compression rate for jounce stop L4	VARIABLE
IMP_DXJST_EXT_L5	mm/s	Suspensions	Compression rate for jounce stop L5	VARIABLE
IMP_DXJST_EXT_L6	mm/s	Suspensions	Compression rate for jounce stop L6	VARIABLE
IMP_DXJST_EXT_R1	mm/s	Suspensions	Compression rate for jounce stop R1	VARIABLE
IMP_DXJST_EXT_R2	mm/s	Suspensions	Compression rate for jounce stop R2	VARIABLE
IMP_DXJST_EXT_R3	mm/s	Suspensions	Compression rate for jounce stop R3	VARIABLE
IMP_DXJST_EXT_R4	mm/s	Suspensions	Compression rate for jounce stop R4	VARIABLE
IMP_DXJST_EXT_R5	mm/s	Suspensions	Compression rate for jounce stop R5	VARIABLE
IMP_DXJST_EXT_R6	mm/s	Suspensions	Compression rate for jounce stop R6	VARIABLE
IMP_DXRST_EXT_L1	mm/s	Suspensions	Compression rate for rebound stop L1	VARIABLE
IMP_DXRST_EXT_L2	mm/s	Suspensions	Compression rate for rebound stop L2	VARIABLE
IMP_DXRST_EXT_L3	mm/s	Suspensions	Compression rate for rebound stop L3	VARIABLE
IMP_DXRST_EXT_L4	mm/s	Suspensions	Compression rate for rebound stop L4	VARIABLE
IMP_DXRST_EXT_L5	mm/s	Suspensions	Compression rate for rebound stop L5	VARIABLE
IMP_DXRST_EXT_L6	mm/s	Suspensions	Compression rate for rebound stop L6	VARIABLE
IMP_DXRST_EXT_R1	mm/s	Suspensions	Compression rate for rebound stop R1	VARIABLE
IMP_DXRST_EXT_R2	mm/s	Suspensions	Compression rate for rebound stop R2	VARIABLE
IMP_DXRST_EXT_R3	mm/s	Suspensions	Compression rate for rebound stop R3	VARIABLE
IMP_DXRST_EXT_R4	mm/s	Suspensions	Compression rate for rebound stop R4	VARIABLE
IMP_DXRST_EXT_R5	mm/s	Suspensions	Compression rate for rebound stop R5	VARIABLE
IMP_DXRST_EXT_R6	mm/s	Suspensions	Compression rate for rebound stop R6	VARIABLE
IMP_DZDX_L1I	-	Tires	Slope of ground in X direction at the tire CTC	VARIABLE
IMP_DZDX_L1O	-	Tires	Slope of ground in X direction at the tire CTC	VARIABLE
IMP_DZDX_L2I	-	Tires	Slope of ground in X direction at the tire CTC	VARIABLE
IMP_DZDX_L2O	-	Tires	Slope of ground in X direction at the tire CTC	VARIABLE
IMP_DZDX_L3I	-	Tires	Slope of ground in X direction at the tire CTC	VARIABLE
IMP_DZDX_L3O	-	Tires	Slope of ground in X direction at the tire CTC	VARIABLE
IMP_DZDX_L4I	-	Tires	Slope of ground in X direction at the tire CTC	VARIABLE
IMP_DZDX_L4O	-	Tires	Slope of ground in X direction at the tire CTC	VARIABLE
IMP_DZDX_L5I	-	Tires	Slope of ground in X direction at the tire CTC	VARIABLE
IMP_DZDX_L5O	-	Tires	Slope of ground in X direction at the tire CTC	VARIABLE
IMP_DZDX_L6I	-	Tires	Slope of ground in X direction at the tire CTC	VARIABLE
IMP_DZDX_L6O	-	Tires	Slope of ground in X direction at the tire CTC	VARIABLE
IMP_DZDX_R1I	-	Tires	Slope of ground in X direction at the tire CTC	VARIABLE
IMP_DZDX_R1O	-	Tires	Slope of ground in X direction at the tire CTC	VARIABLE
IMP_DZDX_R2I	-	Tires	Slope of ground in X direction at the tire CTC	VARIABLE
IMP_DZDX_R2O	-	Tires	Slope of ground in X direction at the tire CTC	VARIABLE
IMP_DZDX_R3I	-	Tires	Slope of ground in X direction at the tire CTC	VARIABLE
IMP_DZDX_R3O	-	Tires	Slope of ground in X direction at the tire CTC	VARIABLE
IMP_DZDX_R4I	-	Tires	Slope of ground in X direction at the tire CTC	VARIABLE
IMP_DZDX_R4O	-	Tires	Slope of ground in X direction at the tire CTC	VARIABLE
IMP_DZDX_R5I	-	Tires	Slope of ground in X direction at the tire CTC	VARIABLE
IMP_DZDX_R5O	-	Tires	Slope of ground in X direction at the tire CTC	VARIABLE
IMP_DZDX_R6I	-	Tires	Slope of ground in X direction at the tire CTC	VARIABLE
IMP_DZDX_R6O	-	Tires	Slope of ground in X direction at the tire CTC	VARIABLE
IMP_DZDY_L1I	-	Tires	Slope of ground in Y direction at the tire CTC	VARIABLE
IMP_DZDY_L1O	-	Tires	Slope of ground in Y direction at the tire CTC	VARIABLE
IMP_DZDY_L2I	-	Tires	Slope of ground in Y direction at the tire CTC	VARIABLE
IMP_DZDY_L2O	-	Tires	Slope of ground in Y direction at the tire CTC	VARIABLE
IMP_DZDY_L3I	-	Tires	Slope of ground in Y direction at the tire CTC	VARIABLE
IMP_DZDY_L3O	-	Tires	Slope of ground in Y direction at the tire CTC	VARIABLE
IMP_DZDY_L4I	-	Tires	Slope of ground in Y direction at the tire CTC	VARIABLE
IMP_DZDY_L4O	-	Tires	Slope of ground in Y direction at the tire CTC	VARIABLE
IMP_DZDY_L5I	-	Tires	Slope of ground in Y direction at the tire CTC	VARIABLE
IMP_DZDY_L5O	-	Tires	Slope of ground in Y direction at the tire CTC	VARIABLE
IMP_DZDY_L6I	-	Tires	Slope of ground in Y direction at the tire CTC	VARIABLE
IMP_DZDY_L6O	-	Tires	Slope of ground in Y direction at the tire CTC	VARIABLE
IMP_DZDY_R1I	-	Tires	Slope of ground in Y direction at the tire CTC	VARIABLE
IMP_DZDY_R1O	-	Tires	Slope of ground in Y direction at the tire CTC	VARIABLE
IMP_DZDY_R2I	-	Tires	Slope of ground in Y direction at the tire CTC	VARIABLE
IMP_DZDY_R2O	-	Tires	Slope of ground in Y direction at the tire CTC	VARIABLE
IMP_DZDY_R3I	-	Tires	Slope of ground in Y direction at the tire CTC	VARIABLE
IMP_DZDY_R3O	-	Tires	Slope of ground in Y direction at the tire CTC	VARIABLE
IMP_DZDY_R4I	-	Tires	Slope of ground in Y direction at the tire CTC	VARIABLE
IMP_DZDY_R4O	-	Tires	Slope of ground in Y direction at the tire CTC	VARIABLE
IMP_DZDY_R5I	-	Tires	Slope of ground in Y direction at the tire CTC	VARIABLE
IMP_DZDY_R5O	-	Tires	Slope of ground in Y direction at the tire CTC	VARIABLE
IMP_DZDY_R6I	-	Tires	Slope of ground in Y direction at the tire CTC	VARIABLE
IMP_DZDY_R6O	-	Tires	Slope of ground in Y direction at the tire CTC	VARIABLE
IMP_ENGINE_CMD_HEV	-	Powertrain	Engine command from HEV controller (0-1)	VARIABLE
IMP_ESC_ENGINE_CON_STATE	-	Powertrain	ESC engine torque control state: 0 -> no control, 1 -> reduce torque to ESC request, 2 -> increase torque to ESC request	0
IMP_FBK_BSTIN	N	Brakes	Brake booster input force	VARIABLE
IMP_FBK_PDL	N	Brakes	Brake pedal force	VARIABLE
IMP_FD_L1	N	Suspensions	Compressive force from damper L1	VARIABLE
IMP_FD_L2	N	Suspensions	Compressive force from damper L2	VARIABLE
IMP_FD_L3	N	Suspensions	Compressive force from damper L3	VARIABLE
IMP_FD_L4	N	Suspensions	Compressive force from damper L4	VARIABLE
IMP_FD_L5	N	Suspensions	Compressive force from damper L5	VARIABLE
IMP_FD_L6	N	Suspensions	Compressive force from damper L6	VARIABLE
IMP_FD_MNT_LF	N	Suspended cab	LF cab mount damper force	VARIABLE
IMP_FD_MNT_LR	N	Suspended cab	LR cab mount damper force	VARIABLE
IMP_FD_MNT_RF	N	Suspended cab	RF cab mount damper force	VARIABLE
IMP_FD_MNT_RR	N	Suspended cab	RR cab mount damper force	VARIABLE
IMP_FD_R1	N	Suspensions	Compressive force from damper R1	VARIABLE
IMP_FD_R2	N	Suspensions	Compressive force from damper R2	VARIABLE
IMP_FD_R3	N	Suspensions	Compressive force from damper R3	VARIABLE
IMP_FD_R4	N	Suspensions	Compressive force from damper R4	VARIABLE
IMP_FD_R5	N	Suspensions	Compressive force from damper R5	VARIABLE
IMP_FD_R6	N	Suspensions	Compressive force from damper R6	VARIABLE
IMP_FS_L1	N	Suspensions	Compressive force added to built-in ride spring L1	0
IMP_FS_L2	N	Suspensions	Compressive force added to built-in ride spring L2	0
IMP_FS_L3	N	Suspensions	Compressive force added to built-in ride spring L3	0
IMP_FS_L4	N	Suspensions	Compressive force added to built-in ride spring L4	0
IMP_FS_L5	N	Suspensions	Compressive force added to built-in ride spring L5	0
IMP_FS_L6	N	Suspensions	Compressive force added to built-in ride spring L6	0
IMP_FS_MNT_LF	N	Suspended cab	LF cab mount spring force	VARIABLE
IMP_FS_MNT_LR	N	Suspended cab	LR cab mount spring force	VARIABLE
IMP_FS_MNT_RF	N	Suspended cab	RF cab mount spring force	VARIABLE
IMP_FS_MNT_RR	N	Suspended cab	RR cab mount spring force	VARIABLE
IMP_FS_R1	N	Suspensions	Compressive force added to built-in ride spring R1	0
IMP_FS_R2	N	Suspensions	Compressive force added to built-in ride spring R2	0
IMP_FS_R3	N	Suspensions	Compressive force added to built-in ride spring R3	0
IMP_FS_R4	N	Suspensions	Compressive force added to built-in ride spring R4	0
IMP_FS_R5	N	Suspensions	Compressive force added to built-in ride spring R5	0
IMP_FS_R6	N	Suspensions	Compressive force added to built-in ride spring R6	0
IMP_FUEL_RT	kg/s	Powertrain	Fuel rate	VARIABLE
IMP_FX0_L1I	N	Tires	Longitudinal force at wheel center from tire(s)	VARIABLE
IMP_FX0_L2I	N	Tires	Longitudinal force at wheel center from tire(s)	VARIABLE
IMP_FX0_L3I	N	Tires	Longitudinal force at wheel center from tire(s)	VARIABLE
IMP_FX0_L4I	N	Tires	Longitudinal force at wheel center from tire(s)	VARIABLE
IMP_FX0_L5I	N	Tires	Longitudinal force at wheel center from tire(s)	VARIABLE
IMP_FX0_L6I	N	Tires	Longitudinal force at wheel center from tire(s)	VARIABLE
IMP_FX0_R1I	N	Tires	Longitudinal force at wheel center from tire(s)	VARIABLE
IMP_FX0_R2I	N	Tires	Longitudinal force at wheel center from tire(s)	VARIABLE
IMP_FX0_R3I	N	Tires	Longitudinal force at wheel center from tire(s)	VARIABLE
IMP_FX0_R4I	N	Tires	Longitudinal force at wheel center from tire(s)	VARIABLE
IMP_FX0_R5I	N	Tires	Longitudinal force at wheel center from tire(s)	VARIABLE
IMP_FX0_R6I	N	Tires	Longitudinal force at wheel center from tire(s)	VARIABLE
IMP_FXEXA1	N	Suspensions	User-defined [sx] force at axle 1 from the sprung mass	0
IMP_FXEXA2	N	Suspensions	User-defined [sx] force at axle 2 from the sprung mass	0
IMP_FXEXA3	N	Suspensions	User-defined [sx] force at axle 3 from the sprung mass	0
IMP_FXEXA4	N	Suspensions	User-defined [sx] force at axle 4 from the sprung mass	0
IMP_FXEXA5	N	Suspensions	User-defined [sx] force at axle 5 from the sprung mass	0
IMP_FXEXA6	N	Suspensions	User-defined [sx] force at axle 6 from the sprung mass	0
IMP_FXGEXA1	N	Suspensions	User-defined [nx] force at axle 1 from the inertial reference N	0
IMP_FXGEXA2	N	Suspensions	User-defined [nx] force at axle 2 from the inertial reference N	0
IMP_FXGEXA3	N	Suspensions	User-defined [nx] force at axle 3 from the inertial reference N	0
IMP_FXGEXA4	N	Suspensions	User-defined [nx] force at axle 4 from the inertial reference N	0
IMP_FXGEXA5	N	Suspensions	User-defined [nx] force at axle 5 from the inertial reference N	0
IMP_FXGEXA6	N	Suspensions	User-defined [nx] force at axle 6 from the inertial reference N	0
IMP_FX_AERO_S1	N	Aerodynamics	X component of aerodynamic force at the aero reference point, unit 1	VARIABLE
IMP_FX_AERO_S2	N	Aerodynamics	X component of aerodynamic force at the aero reference point, unit 2	VARIABLE
IMP_FX_L1I	N	Tires	Long. force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FX_L1O	N	Tires	Long. force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FX_L2I	N	Tires	Long. force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FX_L2O	N	Tires	Long. force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FX_L3I	N	Tires	Long. force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FX_L3O	N	Tires	Long. force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FX_L4I	N	Tires	Long. force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FX_L4O	N	Tires	Long. force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FX_L5I	N	Tires	Long. force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FX_L5O	N	Tires	Long. force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FX_L6I	N	Tires	Long. force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FX_L6O	N	Tires	Long. force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FX_R1I	N	Tires	Long. force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FX_R1O	N	Tires	Long. force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FX_R2I	N	Tires	Long. force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FX_R2O	N	Tires	Long. force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FX_R3I	N	Tires	Long. force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FX_R3O	N	Tires	Long. force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FX_R4I	N	Tires	Long. force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FX_R4O	N	Tires	Long. force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FX_R5I	N	Tires	Long. force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FX_R5O	N	Tires	Long. force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FX_R6I	N	Tires	Long. force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FX_R6O	N	Tires	Long. force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FX_RP_1	N	Reference points	Longitudinal force at reference point	VARIABLE
IMP_FX_RP_2	N	Reference points	Longitudinal force at reference point	VARIABLE
IMP_FX_RP_3	N	Reference points	Longitudinal force at reference point	VARIABLE
IMP_FX_RP_4	N	Reference points	Longitudinal force at reference point	VARIABLE
IMP_FX_RP_5	N	Reference points	Longitudinal force at reference point	VARIABLE
IMP_FY0_L1I	N	Tires	Lateral force at wheel center from tire(s)	VARIABLE
IMP_FY0_L2I	N	Tires	Lateral force at wheel center from tire(s)	VARIABLE
IMP_FY0_L3I	N	Tires	Lateral force at wheel center from tire(s)	VARIABLE
IMP_FY0_L4I	N	Tires	Lateral force at wheel center from tire(s)	VARIABLE
IMP_FY0_L5I	N	Tires	Lateral force at wheel center from tire(s)	VARIABLE
IMP_FY0_L6I	N	Tires	Lateral force at wheel center from tire(s)	VARIABLE
IMP_FY0_R1I	N	Tires	Lateral force at wheel center from tire(s)	VARIABLE
IMP_FY0_R2I	N	Tires	Lateral force at wheel center from tire(s)	VARIABLE
IMP_FY0_R3I	N	Tires	Lateral force at wheel center from tire(s)	VARIABLE
IMP_FY0_R4I	N	Tires	Lateral force at wheel center from tire(s)	VARIABLE
IMP_FY0_R5I	N	Tires	Lateral force at wheel center from tire(s)	VARIABLE
IMP_FY0_R6I	N	Tires	Lateral force at wheel center from tire(s)	VARIABLE
IMP_FYEXA1	N	Suspensions	User-defined [sy] force at axle 1 from the sprung mass	0
IMP_FYEXA2	N	Suspensions	User-defined [sy] force at axle 2 from the sprung mass	0
IMP_FYEXA3	N	Suspensions	User-defined [sy] force at axle 3 from the sprung mass	0
IMP_FYEXA4	N	Suspensions	User-defined [sy] force at axle 4 from the sprung mass	0
IMP_FYEXA5	N	Suspensions	User-defined [sy] force at axle 5 from the sprung mass	0
IMP_FYEXA6	N	Suspensions	User-defined [sy] force at axle 6 from the sprung mass	0
IMP_FYGEXA1	N	Suspensions	User-defined [ny] force at axle 1 from the inertial reference N	0
IMP_FYGEXA2	N	Suspensions	User-defined [ny] force at axle 2 from the inertial reference N	0
IMP_FYGEXA3	N	Suspensions	User-defined [ny] force at axle 3 from the inertial reference N	0
IMP_FYGEXA4	N	Suspensions	User-defined [ny] force at axle 4 from the inertial reference N	0
IMP_FYGEXA5	N	Suspensions	User-defined [ny] force at axle 5 from the inertial reference N	0
IMP_FYGEXA6	N	Suspensions	User-defined [ny] force at axle 6 from the inertial reference N	0
IMP_FY_AERO_S1	N	Aerodynamics	Y component of aerodynamic force at the aero reference point, unit 1	VARIABLE
IMP_FY_AERO_S2	N	Aerodynamics	Y component of aerodynamic force at the aero reference point, unit 2	VARIABLE
IMP_FY_L1I	N	Tires	Lateral force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FY_L1O	N	Tires	Lateral force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FY_L2I	N	Tires	Lateral force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FY_L2O	N	Tires	Lateral force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FY_L3I	N	Tires	Lateral force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FY_L3O	N	Tires	Lateral force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FY_L4I	N	Tires	Lateral force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FY_L4O	N	Tires	Lateral force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FY_L5I	N	Tires	Lateral force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FY_L5O	N	Tires	Lateral force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FY_L6I	N	Tires	Lateral force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FY_L6O	N	Tires	Lateral force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FY_R1I	N	Tires	Lateral force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FY_R1O	N	Tires	Lateral force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FY_R2I	N	Tires	Lateral force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FY_R2O	N	Tires	Lateral force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FY_R3I	N	Tires	Lateral force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FY_R3O	N	Tires	Lateral force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FY_R4I	N	Tires	Lateral force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FY_R4O	N	Tires	Lateral force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FY_R5I	N	Tires	Lateral force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FY_R5O	N	Tires	Lateral force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FY_R6I	N	Tires	Lateral force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_FY_R6O	N	Tires	Lateral force at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
