 Keyword	Units	Type	Component	Legend Label
FsExt_L2	N	Force	Suspensions	Ext. spring force L2 (comp.)	Ext. spring L2 (comp.)
FsExt_R1	N	Force	Suspensions	Ext. spring force R1 (comp.)	Ext. spring R1 (comp.)
FsExt_R2	N	Force	Suspensions	Ext. spring force R2 (comp.)	Ext. spring R2 (comp.)
Fs_L1	N	Force	Suspensions	Spring force L1 (comp.)	Spring L1 (comp.)
Fs_L2	N	Force	Suspensions	Spring force L2 (comp.)	Spring L2 (comp.)
Fs_R1	N	Force	Suspensions	Spring force R1 (comp.)	Spring R1 (comp.)
Fs_R2	N	Force	Suspensions	Spring force R2 (comp.)	Spring R2 (comp.)
FullStep	-	Boolean	Time	Integrator full-step status	Integrator full-step status
FxExA2	N	Force	External actions	External Fx, axle 2	Axle 2
FxExL1	N	Force	External actions	External Fx, L1	Wheel L1
FxExR1	N	Force	External actions	External Fx, R1	Wheel R1
FxGExA2	N	Force	External actions	External FxG, axle 2	Axle 2
FxGExL1	N	Force	External actions	External FxG, L1	Wheel L1
FxGExR1	N	Force	External actions	External FxG, R1	Wheel R1
Fx_A1	N	Force	Tires	Longitudinal tire force, axle 1	Axle 1 longitudinal tire force
Fx_A2	N	Force	Tires	Longitudinal tire force, axle 2	Axle 2 longitudinal tire force
Fx_Air	N	Force	Aerodynamics	Aero Fx, vehicle	Aero Fx, vehicle
Fx_L1	N	Force	Tires	Longitudinal force, tire L1	Tire L1 longitudinal
Fx_L2	N	Force	Tires	Longitudinal force, tire L2	Tire L2 longitudinal
Fx_R1	N	Force	Tires	Longitudinal force, tire R1	Tire R1 longitudinal
Fx_R2	N	Force	Tires	Longitudinal force, tire R2	Tire R2 longitudinal
Fx_RP1	N	Force	Custom Forces and Reference Points	Fx, reference point 1	Ref. point 1 Fx
Fx_RP2	N	Force	Custom Forces and Reference Points	Fx, reference point 2	Ref. point 2 Fx
Fx_RP3	N	Force	Custom Forces and Reference Points	Fx, reference point 3	Ref. point 3 Fx
Fx_RP4	N	Force	Custom Forces and Reference Points	Fx, reference point 4	Ref. point 4 Fx
Fx_WC_L1	N	Force	Wheels	Tire Fx at wheel center L1	Tire Fx at wheel center L1
Fx_WC_L2	N	Force	Wheels	Tire Fx at wheel center L2	Tire Fx at wheel center L2
Fx_WC_R1	N	Force	Wheels	Tire Fx at wheel center R1	Tire Fx at wheel center R1
Fx_WC_R2	N	Force	Wheels	Tire Fx at wheel center R2	Tire Fx at wheel center R2
FyExA2	N	Force	External actions	External Fy, axle 2	Axle 2
FyExL1	N	Force	External actions	External Fy, L1	Wheel L1
FyExR1	N	Force	External actions	External Fy, R1	Wheel R1
FyGExA2	N	Force	External actions	External FyG, axle 2	Axle 2
FyGExL1	N	Force	External actions	External FyG, L1	Wheel L1
FyGExR1	N	Force	External actions	External FyG, R1	Wheel R1
Fy_A1	N	Force	Tires	Lateral tire force, axle 1	Axle 1 lateral tire force
Fy_A2	N	Force	Tires	Lateral tire force, axle 2	Axle 2 lateral tire force
Fy_Air	N	Force	Aerodynamics	Aero Fy, vehicle	Aero Fy, vehicle
Fy_L1	N	Force	Tires	Lateral force, tire L1	Tire L1 lateral
Fy_L2	N	Force	Tires	Lateral force, tire L2	Tire L2 lateral
Fy_R1	N	Force	Tires	Lateral force, tire R1	Tire R1 lateral
Fy_R2	N	Force	Tires	Lateral force, tire R2	Tire R2 lateral
Fy_RP1	N	Force	Custom Forces and Reference Points	Fy, reference point 1	Ref. point 1 Fy
Fy_RP2	N	Force	Custom Forces and Reference Points	Fy, reference point 2	Ref. point 2 Fy
Fy_RP3	N	Force	Custom Forces and Reference Points	Fy, reference point 3	Ref. point 3 Fy
Fy_RP4	N	Force	Custom Forces and Reference Points	Fy, reference point 4	Ref. point 4 Fy
Fy_WC_L1	N	Force	Wheels	Tire Fy at wheel center L1	Tire Fy at wheel center L1
Fy_WC_L2	N	Force	Wheels	Tire Fy at wheel center L2	Tire Fy at wheel center L2
Fy_WC_R1	N	Force	Wheels	Tire Fy at wheel center R1	Tire Fy at wheel center R1
Fy_WC_R2	N	Force	Wheels	Tire Fy at wheel center R2	Tire Fy at wheel center R2
FzExA2	N	Force	External actions	External Fz, axle 2	Axle 2
FzExL1	N	Force	External actions	External Fz, L1	Wheel L1
FzExR1	N	Force	External actions	External Fz, R1	Wheel R1
FzGExA2	N	Force	External actions	External FzG, axle 2	Axle 2
FzGExL1	N	Force	External actions	External FzG, L1	Wheel L1
FzGExR1	N	Force	External actions	External FzG, R1	Wheel R1
Fz_A1	N	Force	Tires	Vertical tire force, axle 1	Axle 1 vertical tire force
Fz_A2	N	Force	Tires	Vertical tire force, axle 2	Axle 2 vertical tire force
Fz_Air	N	Force	Aerodynamics	Aero Fz, vehicle	Aero Fz, vehicle
Fz_L1	N	Force	Tires	Vertical force, tire L1	Tire L1 vertical
Fz_L2	N	Force	Tires	Vertical force, tire L2	Tire L2 vertical
Fz_R1	N	Force	Tires	Vertical force, tire R1	Tire R1 vertical
Fz_R2	N	Force	Tires	Vertical force, tire R2	Tire R2 vertical
Fz_RP1	N	Force	Custom Forces and Reference Points	Fz, reference point 1	Ref. point 1 Fz
Fz_RP2	N	Force	Custom Forces and Reference Points	Fz, reference point 2	Ref. point 2 Fz
Fz_RP3	N	Force	Custom Forces and Reference Points	Fz, reference point 3	Ref. point 3 Fz
Fz_RP4	N	Force	Custom Forces and Reference Points	Fz, reference point 4	Ref. point 4 Fz
Fz_WC_L1	N	Force	Wheels	Tire Fz at wheel center L1	Tire Fz at wheel center L1
Fz_WC_L2	N	Force	Wheels	Tire Fz at wheel center L2	Tire Fz at wheel center L2
Fz_WC_R1	N	Force	Wheels	Tire Fz at wheel center R1	Tire Fz at wheel center R1
Fz_WC_R2	N	Force	Wheels	Tire Fz at wheel center R2	Tire Fz at wheel center R2
F_boost	N	Force	Steering	Steering boost force	Power steering
F_Pedal	N	Force	Brakes	Brake pedal force	Brake Pedal
F_TRdL1	N	Force	Steering	Rack load from tierod L1	Tierod L1 rack load
F_TRdL2	N	Force	Steering	Rack load from tierod L2	Tierod L2 rack load
F_TRdR1	N	Force	Steering	Rack load from tierod R1	Tierod R1 rack load
F_TRdR2	N	Force	Steering	Rack load from tierod R2	Tierod R2 rack load
Gamma_L1	deg	Angle	Tires	Inclination angle, tire L1	Tire L1 inclination
Gamma_L2	deg	Angle	Tires	Inclination angle, tire L2	Tire L2 inclination
Gamma_R1	deg	Angle	Tires	Inclination angle, tire R1	Tire R1 inclination
Gamma_R2	deg	Angle	Tires	Inclination angle, tire R2	Tire R2 inclination
GearStat	-	Gear	Powertrain	Transmission gear status	Transmission gear status
Gear_CL	-	Gear	Powertrain	Closed-loop transmission gear	Closed-loop transmission gear
Gear_Del	-	Gear	Powertrain	Delayed transmission gear status	Delayed transmission gear status
Gear_OL	-	Gear	Powertrain	Open-loop transmission gear	Open-loop transmission gear
GPSlongA	deg	GPS longitude	Chassis motion	GPS absolute longitude	Vehicle
GPS_Lat	deg	GPS latitude	Chassis motion	GPS relative latitude	Vehicle
GPS_LatA	deg	GPS latitude	Chassis motion	GPS absolute latitude	Vehicle
GPS_Long	deg	GPS longitude	Chassis motion	GPS relative longitude	Vehicle
Hcg_TM	mm	Height (local Z coordinate)	Chassis motion	Height, inst. CG, unit 1	Instant CG, vehicle
ID_Event	-	ID number	Database	ID number of event	ID of event
ID_Run	-	ID number	Database	ID number of run	ID of run
Ispin_Tr	kg-m2	inertia	Powertrain	Transmission spin inertia	Transmission spin inertia
Iw_Dr_L1	kg-m2	Inertia	Powertrain	Driveline inertia for wheel L1	Drive wheel L1
Iw_Dr_L2	kg-m2	Inertia	Powertrain	Driveline inertia for wheel L2	Drive wheel L2
Iw_Dr_R1	kg-m2	Inertia	Powertrain	Driveline inertia for wheel R1	Drive wheel R1
Iw_Dr_R2	kg-m2	Inertia	Powertrain	Driveline inertia for wheel R2	Drive wheel R2
JncA_A2	g	Compression acceleration	Axles	Axle 2 jounce acceleration	Axle 2 jounce
JncR_A2	mm/s	Compression rate	Axles	Axle 2 jounce rate	Axle 2 jounce
JncR_L1	mm/s	Compression rate	Suspensions	Wheel L1 jounce rate	Wheel L1 jounce
JncR_L2	mm/s	Compression rate	Suspensions	Wheel L2 jounce rate	Wheel L2 jounce
JncR_R1	mm/s	Compression rate	Suspensions	Wheel R1 jounce rate	Wheel R1 jounce
JncR_R2	mm/s	Compression rate	Suspensions	Wheel R2 jounce rate	Wheel R2 jounce
Jnc_L1	mm	Compression	Suspensions	Wheel L1 jounce (compression)	Wheel L1 jounce
Jnc_L2	mm	Compression	Suspensions	Wheel L2 jounce (compression)	Wheel L2 jounce
Jnc_R1	mm	Compression	Suspensions	Wheel R1 jounce (compression)	Wheel R1 jounce
Jnc_R2	mm	Compression	Suspensions	Wheel R2 jounce (compression)	Wheel R2 jounce
JounceA2	mm	Compression	Axles	Axle 2 jounce	Axle 2 jounce
Kappa_L1	-	Dimensionless ratio	Tires	Longitudinal slip, tire L1	Tire L1 long. slip
Kappa_L2	-	Dimensionless ratio	Tires	Longitudinal slip, tire L2	Tire L2 long. slip
Kappa_R1	-	Dimensionless ratio	Tires	Longitudinal slip, tire R1	Tire R1 long. slip
Kappa_R2	-	Dimensionless ratio	Tires	Longitudinal slip, tire R2	Tire R2 long. slip
KappL_L1	-	Dimensionless ratio	Tires	Long. slip (lagged), tire L1	Tire L1 long. slip (lagged)
KappL_L2	-	Dimensionless ratio	Tires	Long. slip (lagged), tire L2	Tire L2 long. slip (lagged)
KappL_R1	-	Dimensionless ratio	Tires	Long. slip (lagged), tire R1	Tire R1 long. slip (lagged)
KappL_R2	-	Dimensionless ratio	Tires	Long. slip (lagged), tire R2	Tire R2 long. slip (lagged)
Ksf_Gnd	s2/m2	Stability factor	Chassis motion	Vehicle ground stab. factor	Vehicle ground wheels
Ksf_StrR	s2/m2	Stability factor	Chassis motion	Vehicle red. SW stab. factor	Vehicle reduced SWA
Kug_Gnd	deg/g	Understeer gradient	Chassis motion	Vehicle ground understeer grad.	Vehicle ground wheels
Kug_StrR	deg/g	Understeer gradient	Chassis motion	Vehicle red. SW understeer grad.	Vehicle reduced SWA
K_TC	Kinv	Inverse capacity	Powertrain	TC inverse capacity	Torque converter
Lat_Targ	m	Lateral distance to path	Driver model path	Target lateral offset from path	Target
Lat_Veh	m	Lateral distance to path	Driver model path	Vehicle lateral distance to path	Vehicle
LxcgTM	mm	Lx distance (local -X coord.)	Chassis motion	Lx distance to inst. CG, unit 1	Instant CG, vehicle
Mfuel	kg	Fuel consumed	Powertrain	Mass of fuel consumed	Fuel
ModeTran	-	Transmission control mode	Powertrain	Transmission control mode	Transmission control mode
MuX_L1	-	Friction coefficient	Ground and road	Ground X friction, tire L1	Tire/Ground MuX L1
MuX_L2	-	Friction coefficient	Ground and road	Ground X friction, tire L2	Tire/Ground MuX L2
MuX_R1	-	Friction coefficient	Ground and road	Ground X friction, tire R1	Tire/Ground MuX R1
MuX_R2	-	Friction coefficient	Ground and road	Ground X friction, tire R2	Tire/Ground MuX R2
MuY_L1	-	Friction coefficient	Ground and road	Ground Y friction, tire L1	Tire/Ground MuY L1
MuY_L2	-	Friction coefficient	Ground and road	Ground Y friction, tire L2	Tire/Ground MuY L2
MuY_R1	-	Friction coefficient	Ground and road	Ground Y friction, tire R1	Tire/Ground MuY R1
MuY_R2	-	Friction coefficient	Ground and road	Ground Y friction, tire R2	Tire/Ground MuY R2
MxExA2	N-m	Moment	External actions	External Mx, axle 2	Axle 2
MxExL1	N-m	Moment	External actions	External Mx, L1	Wheel L1
MxExR1	N-m	Moment	External actions	External Mx, R1	Wheel R1
MxGExA2	N-m	Moment	External actions	External MxG, axle 2	Axle 2
MxGExL1	N-m	Moment	External actions	External MxG, L1	Wheel L1
MxGExR1	N-m	Moment	External actions	External MxG, R1	Wheel R1
MXGEXT	N-m	Moment	External actions	External MxG 	Sprung mass
Mx_A1	N-m	Moment	Suspensions	Auxiliary roll moment, axle 1	Axle 1
Mx_A2	N-m	Moment	Suspensions	Auxiliary roll moment, axle 2	Axle 2
Mx_Air	N-m	Moment	Aerodynamics	Aero Mx, vehicle	Aero Mx, vehicle
MX_EXT	N-m	Moment	External actions	External Mx 	Sprung mass
Mx_L1	N-m	Moment	Tires	Overturning moment, tire L1	Tire L1 overturning
Mx_L2	N-m	Moment	Tires	Overturning moment, tire L2	Tire L2 overturning
Mx_R1	N-m	Moment	Tires	Overturning moment, tire R1	Tire R1 overturning
Mx_R2	N-m	Moment	Tires	Overturning moment, tire R2	Tire R2 overturning
Mx_WC_L1	N-m	Moment	Wheels	Tire Mx at wheel center L1	Tire Mx at wheel center L1
Mx_WC_L2	N-m	Moment	Wheels	Tire Mx at wheel center L2	Tire Mx at wheel center L2
Mx_WC_R1	N-m	Moment	Wheels	Tire Mx at wheel center R1	Tire Mx at wheel center R1
Mx_WC_R2	N-m	Moment	Wheels	Tire Mx at wheel center R2	Tire Mx at wheel center R2
MyExA2	N-m	Moment	External actions	External My, axle 2	Axle 2
MyExL1	N-m	Moment	External actions	External My, L1	Wheel L1
MyExR1	N-m	Moment	External actions	External My, R1	Wheel R1
MyGExA2	N-m	Moment	External actions	External MyG, axle 2	Axle 2
MyGExL1	N-m	Moment	External actions	External MyG, L1	Wheel L1
MyGExR1	N-m	Moment	External actions	External MyG, R1	Wheel R1
MYGEXT	N-m	Moment	External actions	External MyG 	Sprung mass
MyRR_L1	N-m	Moment	Tires	Rolling resist moment, tire L1	Tire L1 rolling resistance
MyRR_L2	N-m	Moment	Tires	Rolling resist moment, tire L2	Tire L2 rolling resistance
MyRR_R1	N-m	Moment	Tires	Rolling resist moment, tire R1	Tire R1 rolling resistance
MyRR_R2	N-m	Moment	Tires	Rolling resist moment, tire R2	Tire R2 rolling resistance
My_Air	N-m	Moment	Aerodynamics	Aero My, vehicle	Aero My, vehicle
My_Bk_L1	N-m	Moment	Brakes	Brake moment L1	Brake My L1
My_Bk_L2	N-m	Moment	Brakes	Brake moment L2	Brake My L2
My_Bk_R1	N-m	Moment	Brakes	Brake moment R1	Brake My R1
My_Bk_R2	N-m	Moment	Brakes	Brake moment R2	Brake My R2
