 Keyword	Units	Type	Component	Legend Label
FsExt_R1	N	Force	Suspensions	Ext. spring force R1 (comp.)	Ext. spring R1 (comp.)
FsExt_R2	N	Force	Suspensions	Ext. spring force R2 (comp.)	Ext. spring R2 (comp.)
Fs_L1	N	Force	Suspensions	Spring force L1 (comp.)	Spring L1 (comp.)
Fs_L2	N	Force	Suspensions	Spring force L2 (comp.)	Spring L2 (comp.)
Fs_R1	N	Force	Suspensions	Spring force R1 (comp.)	Spring R1 (comp.)
Fs_R2	N	Force	Suspensions	Spring force R2 (comp.)	Spring R2 (comp.)
FullStep	-	Boolean	Time	Integrator full-step status	Integrator full-step status
FxExL1	N	Force	External actions	External Fx, L1	Wheel L1
FxExL2	N	Force	External actions	External Fx, L2	Wheel L2
FxExR1	N	Force	External actions	External Fx, R1	Wheel R1
FxExR2	N	Force	External actions	External Fx, R2	Wheel R2
FxGExL1	N	Force	External actions	External FxG, L1	Wheel L1
FxGExL2	N	Force	External actions	External FxG, L2	Wheel L2
FxGExR1	N	Force	External actions	External FxG, R1	Wheel R1
FxGExR2	N	Force	External actions	External FxG, R2	Wheel R2
Fx_A1	N	Force	Tires	Longitudinal tire force, axle 1	Axle 1 longitudinal tire force
Fx_A2	N	Force	Tires	Longitudinal tire force, axle 2	Axle 2 longitudinal tire force
Fx_Air	N	Force	Aerodynamics	Aero Fx, vehicle	Aero Fx, vehicle
Fx_L1	N	Force	Tires	Longitudinal force, tire L1	Tire L1 longitudinal
Fx_L2	N	Force	Tires	Longitudinal force, tire L2	Tire L2 longitudinal
Fx_R1	N	Force	Tires	Longitudinal force, tire R1	Tire R1 longitudinal
Fx_R2	N	Force	Tires	Longitudinal force, tire R2	Tire R2 longitudinal
Fx_WC_L1	N	Force	Wheels	Tire Fx at wheel center L1	Tire Fx at wheel center L1
Fx_WC_L2	N	Force	Wheels	Tire Fx at wheel center L2	Tire Fx at wheel center L2
Fx_WC_R1	N	Force	Wheels	Tire Fx at wheel center R1	Tire Fx at wheel center R1
Fx_WC_R2	N	Force	Wheels	Tire Fx at wheel center R2	Tire Fx at wheel center R2
FyExL1	N	Force	External actions	External Fy, L1	Wheel L1
FyExL2	N	Force	External actions	External Fy, L2	Wheel L2
FyExR1	N	Force	External actions	External Fy, R1	Wheel R1
FyExR2	N	Force	External actions	External Fy, R2	Wheel R2
FyGExL1	N	Force	External actions	External FyG, L1	Wheel L1
FyGExL2	N	Force	External actions	External FyG, L2	Wheel L2
FyGExR1	N	Force	External actions	External FyG, R1	Wheel R1
FyGExR2	N	Force	External actions	External FyG, R2	Wheel R2
Fy_A1	N	Force	Tires	Lateral tire force, axle 1	Axle 1 lateral tire force
Fy_A2	N	Force	Tires	Lateral tire force, axle 2	Axle 2 lateral tire force
Fy_Air	N	Force	Aerodynamics	Aero Fy, vehicle	Aero Fy, vehicle
Fy_L1	N	Force	Tires	Lateral force, tire L1	Tire L1 lateral
Fy_L2	N	Force	Tires	Lateral force, tire L2	Tire L2 lateral
Fy_R1	N	Force	Tires	Lateral force, tire R1	Tire R1 lateral
Fy_R2	N	Force	Tires	Lateral force, tire R2	Tire R2 lateral
Fy_WC_L1	N	Force	Wheels	Tire Fy at wheel center L1	Tire Fy at wheel center L1
Fy_WC_L2	N	Force	Wheels	Tire Fy at wheel center L2	Tire Fy at wheel center L2
Fy_WC_R1	N	Force	Wheels	Tire Fy at wheel center R1	Tire Fy at wheel center R1
Fy_WC_R2	N	Force	Wheels	Tire Fy at wheel center R2	Tire Fy at wheel center R2
FzExL1	N	Force	External actions	External Fz, L1	Wheel L1
FzExL2	N	Force	External actions	External Fz, L2	Wheel L2
FzExR1	N	Force	External actions	External Fz, R1	Wheel R1
FzExR2	N	Force	External actions	External Fz, R2	Wheel R2
FzGExL1	N	Force	External actions	External FzG, L1	Wheel L1
FzGExL2	N	Force	External actions	External FzG, L2	Wheel L2
FzGExR1	N	Force	External actions	External FzG, R1	Wheel R1
FzGExR2	N	Force	External actions	External FzG, R2	Wheel R2
Fz_A1	N	Force	Tires	Vertical tire force, axle 1	Axle 1 vertical tire force
Fz_A2	N	Force	Tires	Vertical tire force, axle 2	Axle 2 vertical tire force
Fz_Air	N	Force	Aerodynamics	Aero Fz, vehicle	Aero Fz, vehicle
Fz_L1	N	Force	Tires	Vertical force, tire L1	Tire L1 vertical
Fz_L2	N	Force	Tires	Vertical force, tire L2	Tire L2 vertical
Fz_R1	N	Force	Tires	Vertical force, tire R1	Tire R1 vertical
Fz_R2	N	Force	Tires	Vertical force, tire R2	Tire R2 vertical
Fz_WC_L1	N	Force	Wheels	Tire Fz at wheel center L1	Tire Fz at wheel center L1
Fz_WC_L2	N	Force	Wheels	Tire Fz at wheel center L2	Tire Fz at wheel center L2
Fz_WC_R1	N	Force	Wheels	Tire Fz at wheel center R1	Tire Fz at wheel center R1
Fz_WC_R2	N	Force	Wheels	Tire Fz at wheel center R2	Tire Fz at wheel center R2
F_boost	N	Force	Steering	Steering boost force	Power steering
F_Pedal	N	Force	Brakes	Brake pedal force	Brake Pedal
F_TRdL1	N	Force	Steering	Rack load from tierod L1	Tierod L1 rack load
F_TRdL2	N	Force	Steering	Rack load from tierod L2	Tierod L2 rack load
F_TRdR1	N	Force	Steering	Rack load from tierod R1	Tierod R1 rack load
F_TRdR2	N	Force	Steering	Rack load from tierod R2	Tierod R2 rack load
Gamma_L1	deg	Angle	Tires	Inclination angle, tire L1	Tire L1 inclination
Gamma_L2	deg	Angle	Tires	Inclination angle, tire L2	Tire L2 inclination
Gamma_R1	deg	Angle	Tires	Inclination angle, tire R1	Tire R1 inclination
Gamma_R2	deg	Angle	Tires	Inclination angle, tire R2	Tire R2 inclination
GearStat	-	Gear	Powertrain	Transmission gear status	Transmission gear status
Gear_CL	-	Gear	Powertrain	Closed-loop transmission gear	Closed-loop transmission gear
Gear_Del	-	Gear	Powertrain	Delayed transmission gear status	Delayed transmission gear status
Gear_OL	-	Gear	Powertrain	Open-loop transmission gear	Open-loop transmission gear
GPSlongA	deg	GPS longitude	Chassis motion	GPS absolute longitude	Vehicle
GPS_Lat	deg	GPS latitude	Chassis motion	GPS relative latitude	Vehicle
GPS_LatA	deg	GPS latitude	Chassis motion	GPS absolute latitude	Vehicle
GPS_Long	deg	GPS longitude	Chassis motion	GPS relative longitude	Vehicle
Hcg_TM	mm	Height (local Z coordinate)	Chassis motion	Height, inst. CG, unit 1	Instant CG, vehicle
HeadO_1	deg	Heading angle	Targets	Heading angle, moving object 1	Moving object 1
HeadO_10	deg	Heading angle	Targets	Heading angle, moving object 10	Moving object 10
HeadO_2	deg	Heading angle	Targets	Heading angle, moving object 2	Moving object 2
HeadO_3	deg	Heading angle	Targets	Heading angle, moving object 3	Moving object 3
HeadO_4	deg	Heading angle	Targets	Heading angle, moving object 4	Moving object 4
HeadO_5	deg	Heading angle	Targets	Heading angle, moving object 5	Moving object 5
HeadO_6	deg	Heading angle	Targets	Heading angle, moving object 6	Moving object 6
HeadO_7	deg	Heading angle	Targets	Heading angle, moving object 7	Moving object 7
HeadO_8	deg	Heading angle	Targets	Heading angle, moving object 8	Moving object 8
HeadO_9	deg	Heading angle	Targets	Heading angle, moving object 9	Moving object 9
ID_Event	-	ID number	Database	ID number of event	ID of event
ID_Run	-	ID number	Database	ID number of run	ID of run
Ispin_Tr	kg-m2	inertia	Powertrain	Transmission spin inertia	Transmission spin inertia
Iw_Dr_L1	kg-m2	Inertia	Powertrain	Driveline inertia for wheel L1	Drive wheel L1
Iw_Dr_L2	kg-m2	Inertia	Powertrain	Driveline inertia for wheel L2	Drive wheel L2
Iw_Dr_R1	kg-m2	Inertia	Powertrain	Driveline inertia for wheel R1	Drive wheel R1
Iw_Dr_R2	kg-m2	Inertia	Powertrain	Driveline inertia for wheel R2	Drive wheel R2
JncR_L1	mm/s	Compression rate	Suspensions	Wheel L1 jounce rate	Wheel L1 jounce
JncR_L2	mm/s	Compression rate	Suspensions	Wheel L2 jounce rate	Wheel L2 jounce
JncR_R1	mm/s	Compression rate	Suspensions	Wheel R1 jounce rate	Wheel R1 jounce
JncR_R2	mm/s	Compression rate	Suspensions	Wheel R2 jounce rate	Wheel R2 jounce
Jnc_L1	mm	Compression	Suspensions	Wheel L1 jounce (compression)	Wheel L1 jounce
Jnc_L2	mm	Compression	Suspensions	Wheel L2 jounce (compression)	Wheel L2 jounce
Jnc_R1	mm	Compression	Suspensions	Wheel R1 jounce (compression)	Wheel R1 jounce
Jnc_R2	mm	Compression	Suspensions	Wheel R2 jounce (compression)	Wheel R2 jounce
K3_Vx	s3/m3	K3_Vx	VS Commands	Speed controller K3 based on Vx	K3_Vx
Kappa_L1	-	Dimensionless ratio	Tires	Longitudinal slip, tire L1	Tire L1 long. slip
Kappa_L2	-	Dimensionless ratio	Tires	Longitudinal slip, tire L2	Tire L2 long. slip
Kappa_R1	-	Dimensionless ratio	Tires	Longitudinal slip, tire R1	Tire R1 long. slip
Kappa_R2	-	Dimensionless ratio	Tires	Longitudinal slip, tire R2	Tire R2 long. slip
KappL_L1	-	Dimensionless ratio	Tires	Long. slip (lagged), tire L1	Tire L1 long. slip (lagged)
KappL_L2	-	Dimensionless ratio	Tires	Long. slip (lagged), tire L2	Tire L2 long. slip (lagged)
KappL_R1	-	Dimensionless ratio	Tires	Long. slip (lagged), tire R1	Tire R1 long. slip (lagged)
KappL_R2	-	Dimensionless ratio	Tires	Long. slip (lagged), tire R2	Tire R2 long. slip (lagged)
Ki_Vx	1/m	Ki_Vx	VS Commands	Speed controller KI based on Vx	Ki_Vx
Kp_Vx	s/m	Kp_Vx	VS Commands	Speed controller KP based on Vx	Kp_Vx
Ksf_Gnd	s2/m2	Stability factor	Chassis motion	Vehicle ground stab. factor	Vehicle ground wheels
Ksf_StrR	s2/m2	Stability factor	Chassis motion	Vehicle red. SW stab. factor	Vehicle reduced SWA
Kug_Gnd	deg/g	Understeer gradient	Chassis motion	Vehicle ground understeer grad.	Vehicle ground wheels
Kug_StrR	deg/g	Understeer gradient	Chassis motion	Vehicle red. SW understeer grad.	Vehicle reduced SWA
K_TC	Kinv	Inverse capacity	Powertrain	TC inverse capacity	Torque converter
LatO_1	m	Lateral offset	Targets	Lateral offset, moving object 1	Moving object 1
LatO_10	m	Lateral offset	Targets	Lateral offset, moving object 10	Moving object 10
LatO_2	m	Lateral offset	Targets	Lateral offset, moving object 2	Moving object 2
LatO_3	m	Lateral offset	Targets	Lateral offset, moving object 3	Moving object 3
LatO_4	m	Lateral offset	Targets	Lateral offset, moving object 4	Moving object 4
LatO_5	m	Lateral offset	Targets	Lateral offset, moving object 5	Moving object 5
LatO_6	m	Lateral offset	Targets	Lateral offset, moving object 6	Moving object 6
LatO_7	m	Lateral offset	Targets	Lateral offset, moving object 7	Moving object 7
LatO_8	m	Lateral offset	Targets	Lateral offset, moving object 8	Moving object 8
LatO_9	m	Lateral offset	Targets	Lateral offset, moving object 9	Moving object 9
Lat_Targ	m	Lateral distance to path	Driver model path	Target lateral offset from path	Target
Lat_Veh	m	Lateral distance to path	Driver model path	Vehicle lateral distance to path	Vehicle
LxcgTM	mm	Lx distance (local -X coord.)	Chassis motion	Lx distance to inst. CG, unit 1	Instant CG, vehicle
Mfuel	kg	Fuel consumed	Powertrain	Mass of fuel consumed	Fuel
mod1_L1	-	mod1_L1	VS Commands	mod1_L1	mod1_L1
mod1_L2	-	mod1_L2	VS Commands	mod1_L2	mod1_L2
mod1_R1	-	mod1_R1	VS Commands	mod1_R1	mod1_R1
mod1_R2	-	mod1_R2	VS Commands	mod1_R2	mod1_R2
mod2_L1	-	mod2_L1	VS Commands	mod2_L1	mod2_L1
mod2_L2	-	mod2_L2	VS Commands	mod2_L2	mod2_L2
mod2_R1	-	mod2_R1	VS Commands	mod2_R1	mod2_R1
mod2_R2	-	mod2_R2	VS Commands	mod2_R2	mod2_R2
mod3_L1	-	mod3_L1	VS Commands	Audio control variable for tire 	mod3_L1
mod3_L2	-	mod3_L2	VS Commands	Audio control variable for tire 	mod3_L2
mod3_R1	-	mod3_R1	VS Commands	Audio control variable for tire 	mod3_R1
mod3_R2	-	mod3_R2	VS Commands	Audio control variable for tire 	mod3_R2
mod4_L1	-	mod4_L1	VS Commands	mod4_L1	mod4_L1
mod4_L2	-	mod4_L2	VS Commands	mod4_L2	mod4_L2
mod4_R1	-	mod4_R1	VS Commands	mod4_R1	mod4_R1
mod4_R2	-	mod4_R2	VS Commands	mod4_R2	mod4_R2
ModeTran	-	Transmission control mode	Powertrain	Transmission control mode	Transmission control mode
MuX_L1	-	Friction coefficient	Ground and road	Ground X friction, tire L1	Tire/Ground MuX L1
MuX_L2	-	Friction coefficient	Ground and road	Ground X friction, tire L2	Tire/Ground MuX L2
MuX_R1	-	Friction coefficient	Ground and road	Ground X friction, tire R1	Tire/Ground MuX R1
MuX_R2	-	Friction coefficient	Ground and road	Ground X friction, tire R2	Tire/Ground MuX R2
MuY_L1	-	Friction coefficient	Ground and road	Ground Y friction, tire L1	Tire/Ground MuY L1
MuY_L2	-	Friction coefficient	Ground and road	Ground Y friction, tire L2	Tire/Ground MuY L2
MuY_R1	-	Friction coefficient	Ground and road	Ground Y friction, tire R1	Tire/Ground MuY R1
MuY_R2	-	Friction coefficient	Ground and road	Ground Y friction, tire R2	Tire/Ground MuY R2
MxExL1	N-m	Moment	External actions	External Mx, L1	Wheel L1
MxExL2	N-m	Moment	External actions	External Mx, L2	Wheel L2
MxExR1	N-m	Moment	External actions	External Mx, R1	Wheel R1
MxExR2	N-m	Moment	External actions	External Mx, R2	Wheel R2
MxGExL1	N-m	Moment	External actions	External MxG, L1	Wheel L1
MxGExL2	N-m	Moment	External actions	External MxG, L2	Wheel L2
MxGExR1	N-m	Moment	External actions	External MxG, R1	Wheel R1
MxGExR2	N-m	Moment	External actions	External MxG, R2	Wheel R2
MXGEXT	N-m	Moment	External actions	External MxG 	Sprung mass
Mx_A1	N-m	Moment	Suspensions	Auxiliary roll moment, axle 1	Axle 1
Mx_A2	N-m	Moment	Suspensions	Auxiliary roll moment, axle 2	Axle 2
Mx_Air	N-m	Moment	Aerodynamics	Aero Mx, vehicle	Aero Mx, vehicle
MX_EXT	N-m	Moment	External actions	External Mx 	Sprung mass
